App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Five Nights at Freddy's 4,GAME,4.6,21266,45M,"100,000+",Paid,$2.99,Teen,Action,"July 26, 2015",1.1,2.3 and up
Five Nights at Freddy's 4 Demo,GAME,4.4,889425,45M,"10,000,000+",Free,0,Teen,Action,"July 26, 2015",1.1,2.3 and up
Five Nights at Freddy's: SL,GAME,4.5,16162,99M,"100,000+",Paid,$2.99,Teen,Action,"April 6, 2017",1.2,2.3 and up
Five Nights at Neighbor House,GAME,4.2,2180,55M,"100,000+",Free,0,Everyone 10+,Action,"January 26, 2018",1.1.0,4.2 and up
Five Nights at Pizzeria,GAME,3.5,1976,21M,"100,000+",Free,0,Teen,Action,"March 3, 2018",1.6,4.1 and up
Flat Pack,GAME,4.4,862,44M,"100,000+",Free,0,Everyone 10+,Action,"March 16, 2018",1.0.4,7.0 and up
Flip the Gun - Simulator Game,GAME,4.2,195558,86M,"10,000,000+",Free,0,Everyone,Arcade,"July 26, 2018",1.2,5.0 and up
Flippy Axe : Flip The Knife & Axe Simulator,GAME,5.0,7,15M,100+,Free,0,Everyone,Arcade,"September 27, 2017",1.1,4.2 and up
Flow Free,GAME,4.3,1295625,11M,"100,000,000+",Free,0,Everyone,Puzzle,"April 11, 2018",4.0,4.1 and up
Fo Fo Fish,GAME,3.4,5,21M,50+,Free,0,Everyone,Arcade,"August 25, 2015",1.0,2.3 and up
Forgotten Hill Mementoes,GAME,4.6,2027,56M,"100,000+",Free,0,Teen,Adventure,"March 19, 2018",1.5,4.1 and up
Forgotten Hill: Fall,GAME,4.4,1063,18M,"50,000+",Free,0,Teen,Adventure,"October 30, 2017",1.7,3.0 and up
Forgotten Hill: Puppeteer,GAME,4.5,2917,22M,"100,000+",Free,0,Teen,Adventure,"October 30, 2017",2.6,2.3 and up
Forgotten Hill: Surgery,GAME,4.5,2431,24M,"100,000+",Free,0,Teen,Adventure,"November 3, 2017",1.4,3.0 and up
Four In A Line,GAME,3.8,22191,3.0M,"1,000,000+",Free,0,Everyone,Board,"May 4, 2015",1.10,2.3 and up
Four In A Line Free,GAME,4.3,133195,11M,"5,000,000+",Free,0,Everyone,Board,"June 11, 2018",1.58,4.1 and up
Free DS Emulator,GAME,4.1,22896,19M,"1,000,000+",Free,0,Everyone,Arcade,"July 26, 2018",pb1.0.0.1,4.0.3 and up
Free Poker Games : Downtown Casino - Texas Holdem,GAME,4.5,2032,50M,"50,000+",Free,0,Teen,Card,"June 5, 2018",0.1.27,4.1 and up
Freecell CY,GAME,4.0,387,1.1M,"50,000+",Free,0,Everyone,Card,"April 16, 2011",1.3.3,1.6 and up
Frontline Terrorist Battle Shoot: Free FPS Shooter,GAME,4.2,9183,49M,"1,000,000+",Free,0,Mature 17+,Action,"June 22, 2018",1.1,4.4 and up
Fruit Block - Puzzle Legend,GAME,4.6,125647,33M,"10,000,000+",Free,0,Everyone,Casual,"July 23, 2018",60,4.1 and up
Fruit Ninja Classic,GAME,4.3,85468,36M,"1,000,000+",Paid,$0.99,Everyone,Arcade,"June 8, 2018",2.4.1.485300,4.0.3 and up
Fruit Ninja®,GAME,4.3,5091448,41M,"100,000,000+",Free,0,Everyone,Arcade,"July 12, 2018",2.6.7.487220,4.1 and up
Fruits Bomb,GAME,4.4,74695,17M,"10,000,000+",Free,0,Everyone,Casual,"July 6, 2018",3.3.3179,4.0.3 and up
Fun Texas Hold'em Poker,GAME,4.5,32831,24M,"500,000+",Free,0,Teen,Casino,"May 12, 2017",17.05.11,4.0.3 and up
G-Switch,GAME,3.8,4116,8.8M,"100,000+",Free,0,Everyone,Action,"September 1, 2015",1.3.4,2.3 and up
G-Switch 2,GAME,4.4,12683,19M,"1,000,000+",Free,0,Everyone,Action,"February 5, 2018",1.1,2.3 and up
G-Switch 3,GAME,4.6,3656,39M,"100,000+",Free,0,Everyone,Action,"March 15, 2018",1.1.3,3.0 and up
GALAK-Z: Variant Mobile,GAME,3.9,145,79M,"10,000+",Free,0,Everyone,Action,"July 30, 2018",1.7.6,4.4 and up
GUN ZOMBIE,GAME,4.4,243121,38M,"5,000,000+",Free,0,Teen,Arcade,"October 17, 2014",5.3,2.3 and up
GUNSHIP BATTLE: Helicopter 3D,GAME,4.3,2151039,75M,"50,000,000+",Free,0,Teen,Action,"August 1, 2018",2.6.61,4.0.3 and up
Galaxian(FC),GAME,4.5,2,7.8M,100+,Paid,$1.99,Everyone,Arcade,"November 13, 2015",1.0,2.3 and up
Galaxy Attack: Alien Shooter,GAME,4.6,506593,Varies with device,"10,000,000+",Free,0,Everyone,Arcade,"August 1, 2018",5.66,4.1 and up
Game of Thrones: Conquest™,GAME,4.0,90218,97M,"1,000,000+",Free,0,Teen,Strategy,"August 3, 2018",1.8.225278,6.0 and up
Gang Wars of San Andreas,GAME,4.1,9898,63M,"1,000,000+",Free,0,Mature 17+,Action,"February 15, 2018",Varies with device,4.0.3 and up
Gangstar Vegas - mafia game,GAME,4.5,4830407,32M,"50,000,000+",Free,0,Mature 17+,Action,"May 25, 2018",3.7.1a,Varies with device
Gangster City Auto Theft,GAME,4.3,350,67M,"50,000+",Free,0,Everyone,Action,"July 27, 2018",Varies with device,4.0.3 and up
Gangster Town,GAME,4.1,74842,99M,"5,000,000+",Free,0,Teen,Action,"December 22, 2016",1.7,2.3 and up
Gardenscapes,GAME,4.6,4129665,Varies with device,"50,000,000+",Free,0,Everyone,Casual,"July 13, 2018",2.6.2,4.0.3 and up
Garena Free Fire,GAME,4.5,5534114,53M,"100,000,000+",Free,0,Teen,Action,"August 3, 2018",1.21.0,4.0.3 and up
Gate Of Death Ep: 1,GAME,4.4,7,34M,100+,Free,0,Everyone,Adventure,"October 7, 2016",1.1,2.3 and up
Gear.Club - True Racing,GAME,4.4,140658,37M,"1,000,000+",Free,0,Everyone,Racing,"August 1, 2018",1.21.2,4.3 and up
Gems or jewels ?,GAME,4.7,171448,13M,"10,000,000+",Free,0,Teen,Puzzle,"August 3, 2018",1.0.109,4.0 and up
Geometry Dash Lite,GAME,4.5,6181640,58M,"100,000,000+",Free,0,Everyone,Arcade,"December 22, 2017",2.2,4.0 and up
Geometry Dash Meltdown,GAME,4.6,1591129,48M,"50,000,000+",Free,0,Everyone,Arcade,"December 22, 2017",1.01,4.0 and up
Geometry Dash SubZero,GAME,4.6,260527,49M,"10,000,000+",Free,0,Everyone,Arcade,"December 21, 2017",1.00,4.0 and up
Geometry Dash World,GAME,4.6,759838,63M,"10,000,000+",Free,0,Everyone,Arcade,"December 22, 2017",1.03,4.0 and up
Get 'Em,GAME,4.1,7904,21M,"500,000+",Free,0,Everyone 10+,Action,"October 26, 2016",1.6.7,4.0.3 and up
Ghost Hunting camera,GAME,3.5,3048,24M,"500,000+",Free,0,Teen,Action,"March 6, 2017",1.1,2.3 and up
Ghost Snap AR Horror Survival,GAME,3.8,898,33M,"100,000+",Free,0,Teen,Adventure,"December 21, 2016",1.2.3.1,2.3 and up
Ghosts'n Goblins MOBILE,GAME,3.8,466,28M,"10,000+",Paid,$0.99,Everyone,Arcade,"March 28, 2017",1.00.02,4.1 and up
Ghouls'n Ghosts MOBILE,GAME,3.9,168,49M,"5,000+",Paid,$1.99,Everyone 10+,Arcade,"May 18, 2017",1.00.00,4.1 and up
Girls' Frontline,GAME,4.2,2055,96M,"100,000+",Free,0,Teen,Strategy,"May 18, 2018",2.0081_206,4.0.3 and up
Glitch Fixers: Powerpuff Girls,GAME,4.4,39698,51M,"5,000,000+",Free,0,Everyone,Arcade,"December 1, 2016",1.0.0,4.1 and up
Glow Hockey,GAME,4.1,1703479,Varies with device,"100,000,000+",Free,0,Everyone,Arcade,"July 22, 2018",1.3.8,4.1 and up
Golden HoYeah Slots - Real Casino Slots,GAME,4.4,201537,68M,"5,000,000+",Free,0,Teen,Casino,"August 1, 2018",2.1.7,4.0.3 and up
Governor of Poker 2 - OFFLINE POKER GAME,GAME,4.3,246538,60M,"5,000,000+",Free,0,Teen,Card,"March 6, 2018",3.0.8,2.3 and up
Grand Bat Superhero Flying Assault Rescue Mission,GAME,4.4,1094,37M,"500,000+",Free,0,Teen,Action,"July 9, 2018",1.1,4.1 and up
Grand Gangsters 3D,GAME,4.2,401643,Varies with device,"10,000,000+",Free,0,Teen,Action,"July 18, 2018",Varies with device,Varies with device
Grand Stickman Cover V,GAME,4.0,1744,37M,"100,000+",Free,0,Mature 17+,Action,"May 19, 2018",1.0.1,4.1 and up
Grand Theft Auto: San Andreas,GAME,4.4,348962,26M,"1,000,000+",Paid,$6.99,Mature 17+,Action,"March 21, 2015",1.08,3.0 and up
Granny,GAME,4.5,1128805,59M,"50,000,000+",Free,0,Teen,Arcade,"May 29, 2018",1.4.0.1,4.0 and up
Grim Soul: Dark Fantasy Survival,GAME,4.5,189773,95M,"5,000,000+",Free,0,Teen,Role Playing,"July 18, 2018",1.1.1,4.1 and up
Grim Tales: The Wishes CE,GAME,4.3,4923,20M,"100,000+",Free,0,Everyone 10+,Adventure,"August 26, 2015",1.0.0,2.3.3 and up
Guess The Emoji,GAME,4.5,76627,23M,"5,000,000+",Free,0,Everyone,Word,"July 3, 2018",8.16g,4.2 and up
Guess the Class 🔥 AQW,GAME,4.7,57,12M,"1,000+",Free,0,Everyone,Word,"November 1, 2017",1.0.0,4.1 and up
Guess the song of J Balvin,GAME,,28,8.9M,"1,000+",Free,0,Everyone,Trivia,"December 24, 2017",1.1,4.1 and up
Gun Builder ELITE,GAME,4.1,88941,34M,"1,000,000+",Free,0,Teen,Action,"July 26, 2016",3.1.7,4.0 and up
Gun Club Armory,GAME,4.2,55014,28M,"1,000,000+",Free,0,Teen,Action,"December 4, 2017",1.2.6,4.1 and up
Gun Shoot War Q,GAME,4.2,26893,20M,"1,000,000+",Free,0,Teen,Arcade,"March 1, 2017",1.0.5,2.3 and up
Gun Strike Shoot,GAME,4.1,94761,17M,"10,000,000+",Free,0,Teen,Action,"February 21, 2017",1.1.4,2.3 and up
Guns Royale - Multiplayer Blocky Battle Royale,GAME,4.6,19070,90M,"100,000+",Free,0,Everyone 10+,Action,"August 4, 2018",1.0,Varies with device
Guns of Boom - Online Shooter,GAME,4.6,1226514,99M,"10,000,000+",Free,0,Teen,Action,"July 20, 2018",4.4.4,4.1 and up
Guns of Glory,GAME,4.0,120592,77M,"10,000,000+",Free,0,Everyone 10+,Strategy,"July 31, 2018",2.0.2,4.0.3 and up
Gunship Modern Combat 3D,GAME,4.2,3247,26M,"500,000+",Free,0,Teen,Action,"July 25, 2017",1.05,2.3 and up
HANGAME Casino - Baccarat & Texas Hold'em,GAME,4.1,8608,46M,"500,000+",Free,0,Teen,Casino,"May 17, 2018",1.4.5,4.1 and up
HAWK – Force of an Arcade Shooter. Shoot 'em up,GAME,4.6,190274,46M,"5,000,000+",Free,0,Everyone,Arcade,"July 9, 2018",Varies with device,4.1 and up
Hambo,GAME,4.4,125578,17M,"5,000,000+",Free,0,Everyone,Action,"July 6, 2015",1.1.8,2.1 and up
Hard Time (Prison Sim),GAME,4.3,275843,41M,"10,000,000+",Free,0,Teen,Adventure,"July 19, 2018",1.401,4.0 and up
Harry Potter: Hogwarts Mystery,GAME,4.4,1107197,Varies with device,"10,000,000+",Free,0,Teen,Adventure,"August 1, 2018",1.8.2,4.4 and up
Heart of Vegas™ Slots – Free Slot Casino Games,GAME,4.5,264282,48M,"10,000,000+",Free,0,Teen,Casino,"July 12, 2018",3.10.43,4.0.3 and up
Heirs & Graces,GAME,4.3,125,70M,"5,000+",Free,0,Teen,Adventure,"July 1, 2016",1.0.1,2.3.3 and up
Helix,GAME,3.9,2454,37M,"500,000+",Free,0,Everyone,Arcade,"September 10, 2017",1.2,4.0 and up
Helix Jump,GAME,4.2,1485806,33M,"100,000,000+",Free,0,Everyone,Action,"April 9, 2018",1.0.6,4.1 and up
Hello Kitty Nail Salon,GAME,4.2,369203,24M,"50,000,000+",Free,0,Everyone,Casual;Pretend Play,"April 17, 2018",1.5,4.1 and up
Hello Stars,GAME,4.6,101686,31M,"10,000,000+",Free,0,Everyone,Puzzle,"August 4, 2018",1.8.2,4.1 and up
Hero Fighter X,GAME,4.5,24210,45M,"500,000+",Free,0,Teen,Action,"November 13, 2015",1.091,2.2 and up
Hero Hunters,GAME,4.4,70747,99M,"5,000,000+",Free,0,Teen,Action,"July 31, 2018",1.7,4.4 and up
Heroes Arena,GAME,4.2,336386,88M,"10,000,000+",Free,0,Everyone 10+,Action,"July 24, 2018",2.0.1,4.0.3 and up
Heroes of Dragon Age,GAME,4.2,70389,28M,"1,000,000+",Free,0,Teen,Action,"May 9, 2018",5.3.1,2.3.3 and up
Hide N Seek : Mini Game,GAME,3.8,4719,54M,"500,000+",Free,0,Everyone,Action,"July 8, 2018",5.1.3,4.1 and up
Hill Climb Racing,GAME,4.4,8921451,63M,"100,000,000+",Free,0,Everyone,Racing,"July 2, 2018",1.37.2,4.2 and up
Hill Climb Racing 2,GAME,4.6,2750645,Varies with device,"100,000,000+",Free,0,Everyone,Racing,"August 2, 2018",1.17.2,4.2 and up
Hitman Sniper,GAME,4.6,408292,29M,"10,000,000+",Paid,$0.99,Mature 17+,Action,"July 12, 2018",1.7.110758,4.1 and up
Hole.io,GAME,4.2,145353,85M,"10,000,000+",Free,0,Teen,Arcade,"July 24, 2018",1.3.1,4.1 and up
Homescapes,GAME,4.6,3093932,Varies with device,"10,000,000+",Free,0,Everyone,Casual,"July 13, 2018",1.8.0.900,4.0.3 and up
Honkai Impact 3rd,GAME,4.7,59017,82M,"1,000,000+",Free,0,Teen,Action,"July 3, 2018",2.2.1,4.3 and up
Hopeless Land: Fight for Survival,GAME,4.2,250197,44M,"5,000,000+",Free,0,Teen,Action,"July 12, 2018",1.0,4.1 and up
Horror Hospital,GAME,3.7,63986,26M,"1,000,000+",Free,0,Teen,Action,"October 10, 2017",6.0,2.3 and up
Hotel Insanity,GAME,4.2,3816,31M,"100,000+",Free,0,Teen,Arcade,"July 7, 2016",1.0,3.0 and up
How well do you know me?,GAME,3.9,1290,6.4M,"100,000+",Free,0,Everyone,Word,"July 26, 2018",2.3.0,4.1 and up
Hungry Shark Evolution,GAME,4.5,6071542,100M,"100,000,000+",Free,0,Teen,Arcade,"July 25, 2018",6.0.0,4.1 and up
Hungry Shark World,GAME,4.5,1243017,27M,"50,000,000+",Free,0,Teen,Action,"July 18, 2018",3.0.0,4.2 and up
Hustle Castle: Fantasy Kingdom,GAME,4.7,584126,64M,"10,000,000+",Free,0,Everyone 10+,Role Playing,"July 27, 2018",1.5.4,4.1 and up
I Am Innocent,GAME,4.4,208501,56M,"1,000,000+",Free,0,Teen,Adventure,"July 23, 2018",2.8.307,4.0.3 and up
I Know Stuff,GAME,4.2,214923,Varies with device,"5,000,000+",Free,0,Everyone,Trivia,"July 31, 2018",9.1.3,4.1 and up
I am Bread,GAME,4.0,630,20M,"10,000+",Paid,$4.99,Everyone,Adventure,"October 26, 2016",1.6.1,4.4 and up
IV Go（get IV for Pokemon）,GAME,4.6,132282,20M,"1,000,000+",Free,0,Everyone,Adventure,"July 31, 2018",15.0,4.1 and up
Ice Crush 2018 - A new Puzzle Matching Adventure,GAME,4.6,15403,25M,"1,000,000+",Free,0,Everyone,Casual,"August 2, 2018",1.8.1,4.1 and up
Identity V,GAME,4.2,109263,38M,"1,000,000+",Free,0,Teen,Action,"July 10, 2018",1.0.144431,4.1 and up
Idle Heroes,GAME,4.7,416540,99M,"10,000,000+",Free,0,Everyone 10+,Role Playing,"May 30, 2018",1.14.0,2.3 and up
Ingress,GAME,4.3,391325,43M,"10,000,000+",Free,0,Everyone,Adventure,"June 20, 2018",1.131.2,4.0 and up
Injustice 2,GAME,4.3,504765,36M,"5,000,000+",Free,0,Teen,Action,"July 30, 2018",2.4.1,4.4 and up
Injustice: Gods Among Us,GAME,4.4,2440877,32M,"10,000,000+",Free,0,Teen,Action,"June 14, 2018",2.21,4.0 and up
Invasion: Defend EU,GAME,,7,20M,50+,Free,0,Everyone,Arcade,"December 8, 2017",1.0.|,2.3 and up
Iron Blade,GAME,4.4,161637,82M,"10,000,000+",Free,0,Mature 17+,Action,"July 18, 2018",1.7.0m,4.0.3 and up
J Balvin Piano Tiles,GAME,,6,30M,500+,Free,0,Everyone,Music,"May 15, 2018",2.0,4.1 and up
J-Stars Victory VS Guide,GAME,4.1,609,13M,"10,000+",Free,0,Everyone,Action,"May 14, 2014",1.7,2.2 and up
Jetpack Joyride,GAME,4.4,4637439,96M,"100,000,000+",Free,0,Everyone 10+,Arcade,"July 19, 2018",1.10.12,4.1 and up
Jewels Legend - Match 3 Puzzle,GAME,4.6,280098,50M,"10,000,000+",Free,0,Everyone,Arcade,"July 20, 2018",2.11.2,4.0.3 and up
Jewels Star: OZ adventure,GAME,4.5,21892,14M,"1,000,000+",Free,0,Everyone,Puzzle,"December 29, 2017",1.3,4.0 and up
Jewels classic Prince,GAME,4.4,47644,15M,"5,000,000+",Free,0,Everyone,Puzzle,"June 15, 2018",2.4.2,4.0 and up
Jump'N'Shoot Attack,GAME,4.1,155,32M,"1,000+",Paid,$2.49,Everyone,Arcade,"May 26, 2018",1.2,4.1 and up
Jungle Marble Blast,GAME,4.3,18985,23M,"5,000,000+",Free,0,Everyone,Casual,"July 23, 2018",1.5.4,4.0.3 and up
Jungle Monkey Run,GAME,4.4,54082,21M,"10,000,000+",Free,0,Everyone,Adventure,"July 11, 2018",1.6.8,4.0.3 and up
Jungle book-The Great Escape,GAME,3.9,2362,25M,"100,000+",Free,0,Everyone,Action,"July 17, 2013",1.3,2.3 and up
Jurassic World™ Alive,GAME,4.3,309176,70M,"5,000,000+",Free,0,Everyone 10+,Simulation,"August 2, 2018",1.3.15,4.4 and up
Just A Regular Arcade,GAME,4.2,40847,94M,"1,000,000+",Free,0,Everyone,Action,"January 8, 2016",3.1.0,2.3.3 and up
Just Dance Now,GAME,4.2,794058,56M,"10,000,000+",Free,0,Everyone,Music,"June 12, 2018",2.3.0,4.4 and up
Justice League Action Run,GAME,4.3,22333,9.7M,"1,000,000+",Free,0,Everyone 10+,Action,"August 7, 2018",2.01,4.3 and up
KIM KARDASHIAN: HOLLYWOOD,GAME,4.3,1017408,34M,"10,000,000+",Free,0,Teen,Adventure,"July 16, 2018",9.2.0,4.0 and up
Kick the Buddy,GAME,4.3,1004709,Varies with device,"50,000,000+",Free,0,Teen,Action,"July 5, 2018",Varies with device,4.4 and up
Kill Shot Bravo: Sniper FPS,GAME,4.4,579519,99M,"10,000,000+",Free,0,Mature 17+,Action,"July 18, 2018",5.1,4.1 and up
Knife Hit,GAME,4.5,462614,60M,"10,000,000+",Free,0,Everyone,Arcade,"May 22, 2018",1.7.2,4.0.3 and up
Knife&Axe Throwing,GAME,3.1,440,9.1M,"50,000+",Free,0,Everyone,Arcade,"November 26, 2012",1.0.6,2.1 and up
Korean Dungeon: K-Word 1000,GAME,4.7,703,40M,"10,000+",Free,0,Everyone 10+,Word,"November 17, 2017",1.0.4,4.1 and up
Kung Fu Do Fighting,GAME,4.0,271214,Varies with device,"10,000,000+",Free,0,Teen,Arcade,"July 25, 2018",Varies with device,Varies with device
L.A. Crime Stories 2 Mad City Crime,GAME,4.2,3946,42M,"100,000+",Free,0,Teen,Racing,"March 30, 2017",1.04,2.3 and up
L.A. Crime Stories Mad City Crime,GAME,4.0,30008,99M,"1,000,000+",Free,0,Mature 17+,Racing,"March 30, 2017",1.26,2.3 and up
LA Stories 4 New Order Sandbox 2018,GAME,4.2,17453,99M,"1,000,000+",Free,0,Mature 17+,Racing,"June 1, 2018",1.06,2.3 and up
Last Day on Earth: Survival,GAME,4.5,2308916,87M,"10,000,000+",Free,0,Teen,Action,"August 1, 2018",1.9.3,4.1 and up
Last Shelter: Survival,GAME,4.4,93033,98M,"5,000,000+",Free,0,Teen,Strategy,"August 4, 2018",1.250.078,4.0.3 and up
Law of Creation: A Playable Manga,GAME,4.5,13118,47M,"500,000+",Free,0,Teen,Adventure,"June 25, 2018",1.0.19,4.0.3 and up
League of Stickman 2018- Ninja Arena PVP(Dreamsky),GAME,4.4,32496,99M,"1,000,000+",Paid,$0.99,Teen,Action,"July 3, 2018",5.3.3,2.3 and up
Lep's World 2 🍀🍀,GAME,4.3,798522,57M,"100,000,000+",Free,0,Everyone 10+,Arcade,"June 7, 2018",1.9.8.0,4.1 and up
Lep's World 3 🍀🍀🍀,GAME,4.3,771001,52M,"50,000,000+",Free,0,Everyone 10+,Action,"June 11, 2018",2.0.1.3,4.1 and up
Lep's World 🍀,GAME,4.3,696019,Varies with device,"50,000,000+",Free,0,Everyone 10+,Arcade,"May 26, 2018",3.0.6,4.1 and up
Let's Poke The Egg,GAME,3.4,9051,23M,"1,000,000+",Free,0,Everyone,Arcade,"February 4, 2017",1.2,2.3 and up
Lineage 2: Revolution,GAME,4.2,187972,99M,"5,000,000+",Free,0,Teen,Role Playing,"July 11, 2018",1.05.20,4.4 and up
Live Hold’em Pro Poker - Free Casino Games,GAME,4.6,1123190,Varies with device,"10,000,000+",Free,0,Teen,Card,"August 7, 2018",Varies with device,Varies with device
Lock 'n' Roll Pro - Ad Free,GAME,4.6,169,13M,"1,000+",Paid,$0.99,Everyone,Card,"July 1, 2015",4.0.5,2.3.3 and up
Looper!,GAME,4.6,48256,62M,"1,000,000+",Free,0,Everyone,Puzzle,"July 20, 2018",1.2.0,4.1 and up
Lords Mobile: Battle of the Empires - Strategy RPG,GAME,4.4,3057481,14M,"50,000,000+",Free,0,Teen,Strategy,"July 26, 2018",1.76,2.3 and up
Lost Journey (Dreamsky),GAME,4.5,32344,29M,"1,000,000+",Paid,$0.99,Everyone,Adventure,"October 21, 2016",1.3.12,3.0 and up
Love Balls,GAME,4.2,360630,40M,"50,000,000+",Free,0,Everyone,Puzzle,"July 31, 2018",1.2.7,4.1 and up
Love Dance,GAME,4.0,29462,44M,"1,000,000+",Free,0,Teen,Music,"June 14, 2018",1.1.7,4.0 and up
Love Nikki-Dress UP Queen,GAME,4.4,212524,93M,"5,000,000+",Free,0,Everyone,Role Playing,"July 24, 2018",3.0.0,4.0.3 and up
Ludo - Don't get angry,GAME,4.2,131,23M,"1,000+",Paid,$1.61,Everyone,Board,"February 24, 2016",1.6.3,2.3.3 and up
Ludo Dz,GAME,4.5,17,28M,500+,Free,0,Everyone,Board,"August 27, 2017",1.0,4.1 and up
Lust in Terror Manor - The Truth Unveiled | Otome,GAME,4.1,355,53M,"10,000+",Free,0,Teen,Adventure,"July 10, 2018",1.0.6,4.1 and up
M-acceleration 3D Car Racing,GAME,3.9,1202,34M,"100,000+",Free,0,Everyone,Racing,"June 28, 2018",1.6,4.1 and up
M3-X5-X6-M-İ3-İ8 RACİNG 2018,GAME,4.4,596,44M,"100,000+",Free,0,Everyone,Arcade,"February 12, 2017","1,01",4.0 and up
MARVEL Avengers Academy,GAME,4.2,304106,Varies with device,"10,000,000+",Free,0,Teen,Adventure,"August 6, 2018",2.8.2,4.0.3 and up
MARVEL Contest of Champions,GAME,4.3,2468915,92M,"50,000,000+",Free,0,Teen,Action,"July 30, 2018",19.1.0,4.0.3 and up
MARVEL Strike Force,GAME,4.3,165928,91M,"5,000,000+",Free,0,Teen,Role Playing,"July 31, 2018",1.4.0,4.4 and up
MEGA MAN MOBILE,GAME,4.0,267,40M,"10,000+",Paid,$1.99,Everyone,Action,"February 17, 2017",1.02.01,4.0 and up
MLB TAP SPORTS BASEBALL 2018,GAME,4.6,32506,82M,"1,000,000+",Free,0,Everyone,Sports,"June 27, 2018",1.2.1,4.2 and up
"MMX Hill Dash 2 – Offroad Truck, Car & Bike Racing",GAME,4.4,41975,79M,"1,000,000+",Free,0,Everyone,Racing,"July 19, 2018",3.00.11034,5.0 and up
MORTAL KOMBAT X,GAME,4.4,3039889,18M,"10,000,000+",Free,0,Mature 17+,Action,"June 27, 2018",1.18.2,4.0 and up
Mad Dash Fo' Cash,GAME,5.0,14,16M,100+,Free,0,Everyone,Arcade,"June 19, 2017",2.5a,4.1 and up
Mad Day - Truck Distance Game,GAME,4.3,29270,44M,"5,000,000+",Free,0,Everyone,Action,"July 25, 2018",1.4.3,4.0.3 and up
Mad Skills BMX 2,GAME,4.5,29940,80M,"1,000,000+",Free,0,Everyone,Action,"July 26, 2018",1.1.4,4.1 and up
Mad Skills Motocross,GAME,4.0,32522,44M,"1,000,000+",Free,0,Everyone,Racing,"January 25, 2016",1.2.0,2.0 and up
Mafia City,GAME,4.5,168717,56M,"10,000,000+",Free,0,Mature 17+,Strategy,"August 3, 2018",1.3.205,2.3 and up
Magic Tiles - Blackpink Edition (K-Pop),GAME,4.6,4304,71M,"100,000+",Free,0,Everyone,Music,"June 20, 2018",1900001,4.0 and up
Magic Tiles - TWICE Edition (K-Pop),GAME,4.4,2351,62M,"100,000+",Free,0,Everyone,Music,"July 25, 2018",1009001,4.0 and up
Magic Tiles 3,GAME,4.5,592504,Varies with device,"50,000,000+",Free,0,Everyone,Music,"August 3, 2018",5.13.007,4.1 and up
Magnum 3.0 Gun Custom SImulator,GAME,4.5,16815,59M,"1,000,000+",Free,0,Teen,Action,"August 4, 2018",1.0404,4.0.3 and up
Major Mayhem,GAME,4.6,520962,39M,"10,000,000+",Free,0,Teen,Action,"June 28, 2017",108,4.0 and up
Map Callouts for CS:GO,GAME,4.3,211,3.6M,"50,000+",Free,0,Everyone,Action,"January 26, 2018",2.1,4.0.3 and up
Marble - Temple Quest,GAME,4.3,42053,24M,"10,000,000+",Free,0,Everyone,Puzzle,"June 21, 2018",4.9,4.0.3 and up
Marble Woka Woka 2018 - Bubble Shooter Match 3,GAME,4.6,155186,Varies with device,"10,000,000+",Free,0,Everyone,Puzzle,"August 3, 2018",1.3.35,4.1 and up
Mass Effect: Andromeda APEX HQ,GAME,3.4,4490,92M,"100,000+",Free,0,Everyone 10+,Action,"September 21, 2017",1.18.1,4.1 and up
Master of Eternity(MOE),GAME,4.2,5829,70M,"100,000+",Free,0,Teen,Strategy,"July 26, 2018",1.8.2,4.4 and up
MazeMilitia Classic Multiplayer Shooting Game,GAME,4.4,1294,44M,"50,000+",Free,0,Mature 17+,Action,"March 8, 2018",1.2,4.1 and up
MegaNDS (NDS Emulator),GAME,3.4,2218,11M,"500,000+",Free,0,Everyone,Arcade,"October 18, 2017",2.0,4.0 and up
Mental Hospital V,GAME,4.2,2460,25M,"50,000+",Paid,$0.99,Mature 17+,Action,"November 19, 2016",1.04,4.2 and up
Mental Hospital:EB 2 Lite,GAME,4.1,5341,8.8M,"100,000+",Free,0,Teen,Action,"April 30, 2014",1.0,4.0 and up
Merge Dragons!,GAME,4.5,214819,91M,"5,000,000+",Free,0,Everyone,Puzzle,"July 30, 2018",3.6.0,4.1 and up
Metal Soldiers 2,GAME,4.4,153649,Varies with device,"10,000,000+",Free,0,Teen,Action,"June 18, 2018",1.11.2,4.1 and up
Miami Crime Vice Town,GAME,4.1,154519,99M,"10,000,000+",Free,0,Mature 17+,Action,"May 9, 2017",1.4,2.3 and up
Miami crime simulator,GAME,4.0,254518,100M,"10,000,000+",Free,0,Mature 17+,Action,"July 9, 2018",2.0,4.0 and up
Might & Magic: Elemental Guardians,GAME,4.3,32551,35M,"500,000+",Free,0,Mature 17+,Role Playing,"July 12, 2018",1.93,4.4 and up
Millionaire : Who want to be?,GAME,4.4,4396,40M,"100,000+",Free,0,Everyone,Trivia,"April 12, 2017",1.5,2.3 and up
Mini DAYZ: Zombie Survival,GAME,4.1,94661,Varies with device,"1,000,000+",Free,0,Teen,Action,"June 8, 2018",1.4.0,4.4 and up
Mini Golf King - Multiplayer Game,GAME,4.5,531458,100M,"5,000,000+",Free,0,Everyone,Sports,"July 20, 2018",3.04.1,4.0.3 and up
